,CD137pos_CD154neg_memory_TH | Count,CD137pos_CD154neg_memory_TFH | Count,CD137pos_CD154neg_naive_TH | Count,CD137pos_CD154neg_naive_TFH | Count,CD137pos_CD154neg_CD127neg_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127neg_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD45RAneg_Treg | Count,CD137pos_CD154neg_CD45RAneg_TFR | Count,CD137pos_CD154neg_CD45RApos_Treg | Count,CD137pos_CD154neg_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H24_NC_Time_Point_60_CD4 T cells.fcs,17.0,0,11.0,3.00,4.00,13.0,2.00,9.00,16.0,0,2.00,0,
H25_NC_Time_Point_60_CD4 T cells.fcs,17.0,2.00,4.00,2.00,3.00,14.0,3.00,1.00,18.0,1.00,8.00,0,
H26_NC_Time_Point_60_CD4 T cells.fcs,126,30.0,37.0,4.00,15.0,111,9.00,28.0,660,32.0,28.0,11.0,
H28_NC_Time_Point_60_CD4 T cells.fcs,17.0,5.00,7.00,2.00,3.00,14.0,1.00,6.00,38.0,2.00,1.00,0,
H29_NC_Time_Point_60_CD4 T cells.fcs,25.0,5.00,17.0,1.00,10.0,15.0,4.00,13.0,121,3.00,4.00,1.00,
H30_NC_Time_Point_60_CD4 T cells.fcs,59.0,13.0,22.0,7.00,21.0,38.0,4.00,18.0,147,6.00,4.00,0,
H31_NC_Time_Point_60_CD4 T cells.fcs,40.0,2.00,28.0,2.00,7.00,33.0,7.00,21.0,65.0,0,10.0,0,
H32_NC_Time_Point_60_CD4 T cells.fcs,42.0,13.0,6.00,5.00,10.0,32.0,3.00,3.00,192,11.0,9.00,2.00,
H33_NC_Time_Point_60_CD4 T cells.fcs,32.0,8.00,61.0,4.00,8.00,24.0,28.0,33.0,205,21.0,15.0,6.00,
H34_NC_Time_Point_60_CD4 T cells.fcs,109,5.00,44.0,8.00,26.0,83.0,7.00,37.0,230,4.00,43.0,2.00,
H35_NC_Time_Point_60_CD4 T cells.fcs,9.00,2.00,10.0,1.00,4.00,5.00,4.00,6.00,95.0,1.00,2.00,0,
H36_NC_Time_Point_60_CD4 T cells.fcs,9.00,1.00,8.00,0,3.00,6.00,2.00,6.00,14.0,2.00,2.00,0,
H38_NC_Time_Point_60_CD4 T cells.fcs,23.0,1.00,18.0,0,3.00,20.0,3.00,15.0,33.0,1.00,4.00,0,
H39_NC_Time_Point_60_CD4 T cells.fcs,16.0,1.00,15.0,1.00,6.00,10.0,3.00,12.0,64.0,2.00,2.00,0,
H40_NC_Time_Point_60_CD4 T cells.fcs,9.00,1.00,9.00,0,1.00,8.00,5.00,4.00,43.0,1.00,3.00,0,
H41_NC_Time_Point_60_CD4 T cells.fcs,9.00,0,6.00,1.00,2.00,7.00,2.00,4.00,42.0,0,9.00,0,
H42_NC_Time_Point_60_CD4 T cells.fcs,5.00,0,9.00,1.00,0,5.00,4.00,5.00,18.0,1.00,5.00,0,
H23_PC_Time_Point_60_CD4 T cells.fcs,226,30.0,35.0,7.00,216,10.0,33.0,2.00,915,41.0,97.0,37.0,
H33_PC_Time_Point_60_CD4 T cells.fcs,160,56.0,61.0,10.0,102,58.0,44.0,17.0,667,137,24.0,22.0,
H02_HBsAg_Time_Point_60_CD4 T cells.fcs,36.0,4.00,30.0,2.00,14.0,22.0,8.00,22.0,205,3.00,25.0,9.00,
H03_HBsAg_Time_Point_60_CD4 T cells.fcs,15.0,3.00,19.0,3.00,8.00,7.00,5.00,14.0,162,5.00,12.0,3.00,
H04_HBsAg_Time_Point_60_CD4 T cells.fcs,33.0,8.00,15.0,2.00,9.00,24.0,9.00,6.00,219,7.00,5.00,5.00,
H06_HBsAg_Time_Point_60_CD4 T cells.fcs,19.0,1.00,13.0,2.00,5.00,14.0,1.00,12.0,79.0,3.00,7.00,1.00,
H07_HBsAg_Time_Point_60_CD4 T cells.fcs,47.0,11.0,21.0,3.00,5.00,42.0,1.00,20.0,142,6.00,9.00,5.00,
H08_HBsAg_Time_Point_60_CD4 T cells.fcs,18.0,1.00,22.0,5.00,7.00,11.0,3.00,19.0,150,3.00,15.0,4.00,
H10_HBsAg_Time_Point_60_CD4 T cells.fcs,48.0,4.00,133,9.00,12.0,36.0,28.0,105,452,5.00,47.0,4.00,
H11_HBsAg_Time_Point_60_CD4 T cells.fcs,24.0,5.00,55.0,3.00,10.0,14.0,23.0,32.0,253,4.00,17.0,3.00,
H13_HBsAg_Time_Point_60_CD4 T cells.fcs,39.0,11.0,100,23.0,14.0,25.0,8.00,92.0,490,23.0,80.0,6.00,
H14_HBsAg_Time_Point_60_CD4 T cells.fcs,7.00,0,43.0,3.00,5.00,2.00,8.00,35.0,68.0,0,20.0,2.00,
H17_HBsAg_Time_Point_60_CD4 T cells.fcs,82.0,8.00,63.0,1.00,14.0,68.0,9.00,54.0,237,4.00,58.0,8.00,
H18_HBsAg_Time_Point_60_CD4 T cells.fcs,44.0,3.00,39.0,6.00,22.0,22.0,10.0,29.0,284,3.00,25.0,5.00,
H19_HBsAg_Time_Point_60_CD4 T cells.fcs,46.0,2.00,28.0,5.00,9.00,37.0,6.00,22.0,277,6.00,25.0,1.00,
H20_HBsAg_Time_Point_60_CD4 T cells.fcs,37.0,2.00,78.0,8.00,13.0,24.0,8.00,70.0,351,8.00,36.0,5.00,
H21_HBsAg_Time_Point_60_CD4 T cells.fcs,145,7.00,26.0,4.00,30.0,115,4.00,22.0,108,1.00,3.00,0,
H22_HBsAg_Time_Point_60_CD4 T cells.fcs,36.0,2.00,26.0,1.00,17.0,19.0,5.00,21.0,179,1.00,20.0,3.00,
H23_HBsAg_Time_Point_60_CD4 T cells.fcs,42.0,7.00,22.0,4.00,16.0,26.0,2.00,20.0,389,8.00,24.0,10.0,
H24_HBsAg_Time_Point_60_CD4 T cells.fcs,53.0,1.00,109,17.0,10.0,43.0,20.0,89.0,109,0,25.0,1.00,
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,48.0,3.00,53.0,4.00,8.00,40.0,10.0,44.0,63.0,6.00,42.0,9.00,
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,23.0,4.00,1.00,0,1.00,22.0,0,1.00,208,8.00,4.00,2.00,
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,90.0,15.0,36.0,8.00,24.0,66.0,4.00,32.0,350,14.0,18.0,3.00,
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,21.0,3.00,9.00,2.00,10.0,11.0,2.00,7.00,159,4.00,11.0,3.00,
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,50.0,5.00,28.0,4.00,4.00,46.0,1.00,27.0,6.00,0,0,0,
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,128,5.00,57.0,7.00,12.0,116,4.00,53.0,285,6.00,32.0,2.00,
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,67.0,28.0,7.00,3.00,13.0,54.0,0,7.00,318,24.0,10.0,3.00,
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,14.0,8.00,45.0,7.00,3.00,11.0,10.0,35.0,186,39.0,11.0,3.00,
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,64.0,0,43.0,3.00,13.0,51.0,9.00,34.0,298,3.00,101,5.00,
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,245,17.0,56.0,8.00,130,115,22.0,34.0,1319,36.0,99.0,15.0,
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,23.0,3.00,53.0,12.0,9.00,14.0,11.0,42.0,229,0,19.0,2.00,
