,CD4,CD45RApos | Count,CD45RAneg | Count,CXCR5pos | Count,CXCR5neg | Count,CD127neg_CD25neg | Count,CD127neg_CD25pos | Count,CD127pos_CD25neg | Count,CD137neg_CD154pos | Count,CD137pos_CD154pos | Count,CD137pos_CD154neg | Count,CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_pos_CD25neg | Count,CD45RApos_CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_CD25pos | Count,CD45RApos_CD127neg_CD25pos | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,7.80E5,4.83E5,297278,71921,7.08E5,132637,45483,5.93E5,432,42.0,576,7.25E5,269395,4.56E5,23858,21625,
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,366923,288510,78413,11466,355457,128916,19621,215551,261,25.0,255,344464,66126,278338,10891,8730,
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,395062,228907,166155,22958,372104,72477,20558,297520,199,14.0,258,369997,149822,220175,13326,7232,
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,306680,195336,111344,17162,289518,101559,15702,187007,186,5.00,237,288545,99951,188594,9812,5890,
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,384525,183425,201100,32151,352374,100725,31583,248334,237,32.0,306,349034,177531,171503,20948,10635,
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,4.15E5,219492,195253,35138,379607,136096,22766,252038,339,7.00,172,388106,177482,210624,14746,8020,
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,4.16E5,232750,183206,30332,385624,105936,18332,288975,372,11.0,303,394895,170777,224118,10784,7548,
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,5.66E5,4.63E5,103625,26274,5.40E5,244134,22339,293870,322,19.0,370,5.36E5,90675,4.46E5,9659,12680,
H23_HBsAg_Time_Point_0_CD4 T cells.fcs,371061,230650,140411,25723,345338,72701,25842,270115,263,8.00,227,342799,125637,217162,13367,12475,
H24_HBsAg_Time_Point_0_CD4 T cells.fcs,360311,228528,131783,34664,325647,83622,16861,257038,176,6.00,158,340632,121967,218665,8303,8558,
H25_HBsAg_Time_Point_0_CD4 T cells.fcs,334149,239233,94916,16988,317161,117842,27220,186782,295,15.0,262,304613,82663,221950,10741,16479,
H26_HBsAg_Time_Point_0_CD4 T cells.fcs,272965,132007,140958,20366,252599,72286,20075,173814,155,8.00,142,246100,122699,123401,15176,4899,
H28_HBsAg_Time_Point_0_CD4 T cells.fcs,267516,147545,119971,25202,242314,57618,11300,194601,131,14.0,171,252219,109985,142234,7247,4053,
H29_HBsAg_Time_Point_0_CD4 T cells.fcs,4.04E5,183726,220066,51922,351870,121077,29071,247859,286,21.0,270,368935,196873,172062,19514,9557,
H30_HBsAg_Time_Point_0_CD4 T cells.fcs,4.09E5,206506,202315,34361,374460,84837,16378,305490,190,5.00,168,390327,188985,201342,12006,4372,
H31_HBsAg_Time_Point_0_CD4 T cells.fcs,308720,186287,122433,17188,291532,64114,13847,228470,158,8.00,162,292584,113052,179532,7980,5867,
H32_HBsAg_Time_Point_0_CD4 T cells.fcs,323159,52986,270173,55510,267649,50782,11680,258279,254,26.0,344,309061,258997,50064,9237,2443,
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,5.89E5,285237,303577,75549,5.13E5,135861,41944,4.06E5,349,25.0,327,5.42E5,271029,270633,28806,13138,
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,5.02E5,4.13E5,88942,24536,4.78E5,148986,29671,316579,321,32.0,482,4.66E5,75677,389888,10961,18710,
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,7.92E5,5.29E5,263013,45924,7.46E5,298953,40944,4.47E5,307,22.0,307,7.46E5,232746,5.13E5,27591,13353,
H36_HBsAg_Time_Point_0_CD4 T cells.fcs,6.26E5,4.93E5,132914,25020,6.01E5,168980,37060,4.14E5,316,25.0,284,5.83E5,115466,4.68E5,14531,22529,
H38_HBsAg_Time_Point_0_CD4 T cells.fcs,4.72E5,261617,210489,52503,4.20E5,110392,15460,343244,324,46.0,344,4.54E5,198798,254838,9618,5842,
H39_HBsAg_Time_Point_0_CD4 T cells.fcs,4.80E5,353404,127056,19006,4.61E5,139923,19826,318146,244,16.0,263,4.58E5,115423,342646,10491,9335,
H40_HBsAg_Time_Point_0_CD4 T cells.fcs,4.59E5,297129,162250,23190,4.36E5,104837,15244,337045,314,23.0,284,4.42E5,152904,288978,7993,7251,
H41_HBsAg_Time_Point_0_CD4 T cells.fcs,337148,234216,102932,14456,322692,122818,23839,187990,193,10.0,210,310808,88432,222376,13006,10833,
H42_HBsAg_Time_Point_0_CD4 T cells.fcs,307512,149002,158510,40306,267206,97943,15599,192380,193,21.0,211,290323,148054,142269,9450,6149,
