,CD4,Treg,CD45RAneg_Treg,CD45RApos_Treg,CD137neg_CD45RAneg_Treg,CD137pos_CD45RAneg_Treg,CD137neg_CD45RApos_Treg,CD137pos_CD45RApos_Treg,CD137neg_CD45RAneg_Treg_CD137_MFI,CD137pos_CD45RAneg_Treg_CD137_MFI,CD137neg_CD45RAneg_Treg_CD25_MFI,CD137pos_CD45RAneg_Treg_CD25_MFI,CD137neg_CD45RAneg_Treg_CD127_MFI,CD137pos_CD45RAneg_Treg_CD127_MFI,CD137neg_CD45RAneg_Treg_CD154_MFI,CD137pos_CD45RAneg_Treg_CD154_MFI,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,5.23E5,28306,20776,7530,12645,7956,6850,657,455,6338,4072,7809,1529,1876,193,256,
H28_NC_Time_Point_60_CD4 T cells.fcs,190024,6936,4924,2012,3732,1128,1958,48.0,371,5279,2482,4990,837,1130,120,151,
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,288557,10141,7025,3116,4183,2703,2755,334,400,7564,2338,4540,736,941,132,242,
H29_NC_Time_Point_60_CD4 T cells.fcs,304565,24073,18254,5819,12243,5771,5341,452,490,4852,4021,6992,928,1124,65.7,61.7,
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,286477,21597,15720,5877,9277,6239,4700,1143,521,5574,4001,7066,889,1121,73.8,103,
H30_NC_Time_Point_60_CD4 T cells.fcs,5.63E5,26814,20331,6483,14161,5952,6271,202,348,5185,3530,6829,1467,1823,195,231,
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,4.04E5,4629,3440,1189,2549,854,1093,93.0,383,4852,3066,4186,2205,2684,286,361,
H31_NC_Time_Point_60_CD4 T cells.fcs,4.75E5,22345,12586,9759,9807,2670,9556,196,311,4800,3824,8039,1557,1929,186,186,
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,4.29E5,19269,10602,8667,7116,3397,7931,703,308,6362,3748,7506,1440,1790,193,243,
H32_NC_Time_Point_60_CD4 T cells.fcs,5.21E5,21868,17738,4130,12936,4648,3976,144,357,5260,3646,7121,1634,1883,207,239,
