,CD4,TH | Median (Comp-PE-A),naive_TH | Median (Comp-PE-A),memory_TH | Median (Comp-PE-A),TFH | Median (Comp-PE-A),naive_TFH | Median (Comp-PE-A),memory_TFH | Median (Comp-PE-A),Treg | Median (Comp-PE-A),CD45RApos_Treg | Median (Comp-PE-A),CD45RAneg_Treg | Median (Comp-PE-A),TFR | Median (Comp-PE-A),CD45RApos_TFR | Median (Comp-PE-A),CD45RAneg_TFR | Median (Comp-PE-A),
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,,
H25_NC_Time_Point_60_CD4 T cells.fcs,108,99.6,79.7,165,91.1,114,85.4,225,128,458,134,157,114,
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,122,111,85.4,199,117,148,111,302,202,533,285,262,305,
H26_NC_Time_Point_60_CD4 T cells.fcs,188,177,142,214,142,128,148,635,182,1074,251,159,403,
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,205,188,148,234,171,165,171,783,262,1347,414,308,641,
H28_NC_Time_Point_60_CD4 T cells.fcs,162,157,122,214,131,117,137,435,125,668,245,179,311,
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,231,219,177,294,219,191,225,688,291,1288,435,317,539,
H29_NC_Time_Point_60_CD4 T cells.fcs,199,179,122,237,145,154,142,769,291,1127,251,237,262,
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,214,185,114,259,154,168,151,1108,426,1616,351,348,368,
H30_NC_Time_Point_60_CD4 T cells.fcs,114,105,56.9,165,51.2,34.1,54.1,492,62.6,825,140,79.7,182,
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,111,102,51.2,165,54.1,79.7,48.4,519,128,760,277,231,363,
H31_NC_Time_Point_60_CD4 T cells.fcs,74.0,68.3,11.4,168,51.2,54.1,51.2,277,39.8,565,102,125,62.6,
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,79.7,68.3,5.69,179,59.8,71.2,56.9,380,99.6,874,225,159,294,
H32_NC_Time_Point_60_CD4 T cells.fcs,168,171,68.3,197,114,134,114,510,114,709,208,185,219,
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,205,199,56.9,237,145,188,142,971,222,1515,484,394,545,
H33_NC_Time_Point_60_CD4 T cells.fcs,128,122,74.0,194,99.6,56.9,117,317,102,516,179,134,214,
H33_PC_Time_Point_60_CD4 T cells.fcs,417,314,162,760,504,340,583,981,481,1652,1114,941,1232,
H33_HBsAg_Time_Point_60_CD4 T cells.fcs,105,93.9,31.3,188,79.7,48.4,91.1,388,91.1,680,274,137,391,
H34_NC_Time_Point_60_CD4 T cells.fcs,131,114,85.4,205,71.2,82.5,62.6,603,251,1631,194,182,254,
H34_HBsAg_Time_Point_60_CD4 T cells.fcs,134,108,68.3,242,74.0,82.5,59.8,1042,466,2913,662,653,769,
H35_NC_Time_Point_60_CD4 T cells.fcs,114,102,71.2,179,59.8,37.0,65.5,429,125,674,154,120,197,
H35_HBsAg_Time_Point_60_CD4 T cells.fcs,131,114,74.0,219,76.8,51.2,85.4,718,228,1413,274,151,429,
H36_NC_Time_Point_60_CD4 T cells.fcs,11.4,5.69,-8.54,56.9,-62.6,-56.9,-68.3,191,-2.85,632,25.6,42.7,-2.85,
H36_HBsAg_Time_Point_60_CD4 T cells.fcs,99.6,93.9,76.8,159,59.8,76.8,54.1,242,111,680,148,148,142,
H38_NC_Time_Point_60_CD4 T cells.fcs,93.9,91.1,65.5,148,59.8,45.5,62.6,274,105,591,140,142,120,
H38_HBsAg_Time_Point_60_CD4 T cells.fcs,42.7,37.0,5.69,114,8.54,25.6,2.85,371,128,865,259,234,345,
H39_NC_Time_Point_60_CD4 T cells.fcs,154,145,122,217,117,157,96.8,440,142,910,288,248,345,
H39_HBsAg_Time_Point_60_CD4 T cells.fcs,148,137,108,219,111,128,99.6,574,194,1413,268,225,429,
H40_NC_Time_Point_60_CD4 T cells.fcs,117,111,88.2,168,65.5,76.8,62.6,277,111,591,168,182,154,
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,122,108,71.2,205,88.2,74.0,93.9,495,248,1255,371,285,400,
H41_NC_Time_Point_60_CD4 T cells.fcs,142,134,108,222,114,99.6,122,285,117,542,165,137,245,
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,134,122,93.9,214,117,122,114,342,174,559,308,305,308,
H42_NC_Time_Point_60_CD4 T cells.fcs,179,179,162,199,122,145,120,317,165,475,194,194,194,
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,108,105,88.2,125,51.2,91.1,45.5,305,151,455,237,217,242,
H02_NC_Time_Point_180_CD4 T cells.fcs,194,185,148,259,165,154,168,383,182,871,179,125,328,
H02_PC_Time_Point_180_CD4 T cells.fcs,510,429,322,859,577,548,583,1080,650,2575,1064,1291,981,
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,202,191,151,274,182,174,182,411,211,901,265,208,377,
H03_NC_Time_Point_180_CD4 T cells.fcs,174,157,111,202,134,174,125,760,211,1377,288,314,245,
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,205,188,137,239,179,219,171,843,254,1581,277,305,257,
H04_NC_Time_Point_180_CD4 T cells.fcs,214,208,188,219,157,214,142,466,228,556,325,328,305,
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,282,279,257,291,231,274,219,481,257,568,328,337,297,
H06_NC_Time_Point_180_CD4 T cells.fcs,177,168,74.0,279,108,105,111,671,74.0,1343,185,134,254,
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,185,174,76.8,274,137,148,134,828,171,1645,388,380,388,
H07_NC_Time_Point_180_CD4 T cells.fcs,122,120,71.2,168,88.2,74.0,91.1,262,93.9,426,151,114,179,
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,148,145,85.4,199,125,105,134,305,140,472,179,165,197,
H08_NC_Time_Point_180_CD4 T cells.fcs,165,154,125,208,108,105,108,374,140,600,128,108,168,
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,179,168,134,228,134,128,134,423,177,665,125,131,108,
H10_NC_Time_Point_180_CD4 T cells.fcs,102,96.8,82.5,157,65.5,76.8,59.8,268,88.2,650,108,82.5,137,
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,145,137,117,219,134,134,134,354,165,777,171,145,234,
H11_NC_Time_Point_180_CD4 T cells.fcs,174,165,125,225,137,134,137,449,165,996,179,154,248,
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,199,188,142,254,182,179,185,484,217,1049,297,271,391,
H13_NC_Time_Point_180_CD4 T cells.fcs,93.9,85.4,65.5,131,56.9,68.3,54.1,265,76.8,521,102,93.9,122,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,145,134,105,191,122,128,122,406,185,783,242,222,257,
H14_NC_Time_Point_180_CD4 T cells.fcs,14.2,-2.85,-25.6,128,31.3,85.4,-14.2,417,37.0,1127,185,168,197,
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,45.5,31.3,5.69,162,71.2,125,31.3,466,105,1245,251,231,299,
H17_NC_Time_Point_180_CD4 T cells.fcs,191,185,165,222,165,191,157,302,168,481,242,217,268,
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,225,217,179,279,222,228,219,368,239,577,328,305,365,
H18_NC_Time_Point_180_CD4 T cells.fcs,182,177,140,291,159,120,174,440,197,609,154,185,148,
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,214,205,157,322,214,165,237,452,242,597,334,285,435,
H19_NC_Time_Point_180_CD4 T cells.fcs,182,171,111,248,142,99.6,154,519,165,913,214,120,342,
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,217,202,140,288,199,145,214,586,231,1033,342,251,432,
H20_NC_Time_Point_180_CD4 T cells.fcs,140,137,102,202,111,85.4,120,354,114,730,140,114,179,
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,248,239,202,320,239,217,245,521,242,1042,311,251,403,
H21_NC_Time_Point_180_CD4 T cells.fcs,199,191,134,337,154,122,162,580,177,1717,234,211,291,
