,CD137neg_CD154pos_memory_TH | Count,CD137neg_CD154pos_memory_TFH | Count,CD137neg_CD154pos_naive_TH | Count,CD137neg_CD154pos_naive_TFH | Count,CD137neg_CD154pos_CD127neg_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127neg_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD45RAneg_Treg | Count,CD137neg_CD154pos_CD45RAneg_TFR | Count,CD137neg_CD154pos_CD45RApos_Treg | Count,CD137neg_CD154pos_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H39_NC_Time_Point_60_CD4 T cells.fcs,5.00,0,23.0,1.00,0,5.00,6.00,17.0,4.00,0,2.00,1.00,
H40_NC_Time_Point_60_CD4 T cells.fcs,12.0,0,21.0,1.00,3.00,9.00,7.00,14.0,3.00,1.00,0,0,
H41_NC_Time_Point_60_CD4 T cells.fcs,6.00,1.00,20.0,0,0,6.00,5.00,15.0,1.00,0,5.00,0,
H42_NC_Time_Point_60_CD4 T cells.fcs,26.0,1.00,31.0,3.00,2.00,24.0,4.00,27.0,7.00,1.00,1.00,1.00,
H23_PC_Time_Point_60_CD4 T cells.fcs,34552,11817,138376,3553,19454,15107,89263,49135,4242,1414,12272,1121,
H33_PC_Time_Point_60_CD4 T cells.fcs,36603,17034,79150,7888,10134,26469,32848,46302,9554,4070,8280,1994,
H02_HBsAg_Time_Point_60_CD4 T cells.fcs,47.0,17.0,131,10.0,11.0,36.0,32.0,99.0,17.0,3.00,10.0,0,
H03_HBsAg_Time_Point_60_CD4 T cells.fcs,48.0,15.0,108,8.00,19.0,29.0,50.0,58.0,16.0,3.00,8.00,2.00,
H04_HBsAg_Time_Point_60_CD4 T cells.fcs,123,51.0,67.0,9.00,33.0,90.0,12.0,55.0,17.0,5.00,3.00,2.00,
H06_HBsAg_Time_Point_60_CD4 T cells.fcs,55.0,10.0,33.0,4.00,10.0,45.0,7.00,26.0,26.0,2.00,3.00,1.00,
H07_HBsAg_Time_Point_60_CD4 T cells.fcs,106,32.0,91.0,8.00,18.0,88.0,12.0,79.0,24.0,6.00,23.0,2.00,
H08_HBsAg_Time_Point_60_CD4 T cells.fcs,112,14.0,64.0,7.00,6.00,106,14.0,50.0,29.0,5.00,7.00,0,
H10_HBsAg_Time_Point_60_CD4 T cells.fcs,160,14.0,221,9.00,59.0,101,49.0,172,30.0,5.00,17.0,3.00,
H11_HBsAg_Time_Point_60_CD4 T cells.fcs,112,26.0,115,6.00,30.0,82.0,18.0,97.0,22.0,2.00,11.0,2.00,
H13_HBsAg_Time_Point_60_CD4 T cells.fcs,266,40.0,146,24.0,68.0,198,22.0,124,47.0,11.0,11.0,7.00,
H14_HBsAg_Time_Point_60_CD4 T cells.fcs,39.0,1.00,122,2.00,12.0,27.0,23.0,99.0,3.00,0,28.0,1.00,
H17_HBsAg_Time_Point_60_CD4 T cells.fcs,103,38.0,189,8.00,18.0,85.0,27.0,162,31.0,3.00,10.0,1.00,
