,CD4 | Median (Comp-BV786-A),TH | Median (Comp-BV786-A),naive_TH | Median (Comp-BV786-A),memory_TH | Median (Comp-BV786-A),TFH | Median (Comp-BV786-A),naive_TFH | Median (Comp-BV786-A),memory_TFH | Median (Comp-BV786-A),Treg | Median (Comp-BV786-A),CD45RApos_Treg | Median (Comp-BV786-A),CD45RAneg_Treg | Median (Comp-BV786-A),TFR | Median (Comp-BV786-A),CD45RApos_TFR | Median (Comp-BV786-A),CD45RAneg_TFR | Median (Comp-BV786-A)
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,
H24_NC_Time_Point_60_CD4 T cells.fcs,4385,4370,3737,5574,5574,4724,5888,2197,2189,2201,2460,2447,2479
H24_HBsAg_Time_Point_60_CD4 T cells.fcs,4408,4385,3724,5625,5823,4896,6153,2082,2082,2086,2363,2315,2434
H25_NC_Time_Point_60_CD4 T cells.fcs,2928,3023,2882,3884,3666,3711,3647,1592,1574,1627,1764,1738,1812
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,3324,3442,3266,4432,4087,4087,4087,1652,1652,1652,1952,1991,1891
H26_NC_Time_Point_60_CD4 T cells.fcs,4440,4699,3891,6008,4818,4241,5074,1775,1895,1731,2111,2107,2115
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,4633,4922,4072,6153,4966,4471,5194,1709,1834,1663,2115,2086,2172
H28_NC_Time_Point_60_CD4 T cells.fcs,3131,3204,3007,3609,3584,3491,3609,922,981,901,1064,1165,965
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,3448,3540,3365,3870,3777,3744,3783,850,931,813,1175,1111,1194
H29_NC_Time_Point_60_CD4 T cells.fcs,2402,2566,2058,3283,2903,2882,2913,971,913,993,1008,1130,859
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,2762,2934,2337,3750,3473,3454,3473,947,853,981,1092,1175,1036
H30_NC_Time_Point_60_CD4 T cells.fcs,3803,3918,3577,4463,4370,4331,4385,1571,1546,1578,1677,1816,1606
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,5635,5615,5289,6074,6176,6086,6210,2272,2160,2315,2135,2135,2222
H31_NC_Time_Point_60_CD4 T cells.fcs,3590,3666,3243,4835,4455,4037,4584,1702,1771,1638,1876,1956,1768
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,3898,3981,3503,5289,4966,4432,5138,1623,1691,1557,1827,1812,1964
